cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count,frame
SMALL_BLOB,0.068,0,34.0,1,1,1,688
SMALL_BLOB,0.853,0,427.0,3.0,2.667,4,691
SMALL_BLOB,0.076,0,38.0,1,1,1,697
HEAVY_TRACK,19.203,6,9606.0,1.5,1.833,11,699
SMALL_BLOB,0.777,0,389.0,3.0,2.667,4,701
SMALL_BLOB,0.18,0,90.0,1,1,2,712
SMALL_BLOB,0.584,0,292.0,1,1,2,716
SMALL_BLOB,0.182,0,91.0,1,1,2,716
SMALL_BLOB,0.104,0,52.0,1,1,2,724
LIGHT_TRACK,1.146,0,574.0,5.75,1.413,10,743
SMALL_BLOB,0.905,0,453.0,1,1,4,743
SMALL_BLOB,0.192,0,96.0,1,1,2,754
SMALL_BLOB,0.08,0,40.0,1,1,1,767
SMALL_BLOB,0.5,0,250.0,1.0,3.0,3,770
SMALL_BLOB,0.924,0,462.0,1.0,3.0,3,786
SMALL_BLOB,0.404,0,202.0,1,1,2,787
SMALL_BLOB,0.23,0,115.0,1,1,1,809
LIGHT_TRACK,1.36,0,681.0,4.167,1.167,7,833
SMALL_BLOB,0.138,0,69.0,1,1,1,833
LIGHT_TRACK,1.63,0,816.0,2.4,0.833,10,841
SMALL_BLOB,0.704,0,352.0,1.0,3.0,3,842
SMALL_BLOB,0.849,0,425.0,1.0,4.0,4,842
LIGHT_TRACK,1.129,3,565.0,2.8,1.286,9,842
LIGHT_TRACK,1.031,0,516.0,3.75,1.517,7,843
SMALL_BLOB,0.29,0,145.0,1.0,3.0,3,854
SMALL_BLOB,0.118,0,59.0,1,1,2,860
SMALL_BLOB,0.694,0,347.0,1,1,1,870
SMALL_BLOB,0.997,0,499.0,3.0,2.667,4,871
SMALL_BLOB,0.08,0,40.0,1,1,1,876
LIGHT_TRACK,1.246,0,624.0,5.0,1.8,9,883
SMALL_BLOB,0.102,0,51.0,1,1,1,884
SMALL_BLOB,0.807,0,404.0,2.5,2.0,4,886
SMALL_BLOB,0.27,0,135.0,1,1,2,887
SMALL_BLOB,0.142,0,71.0,1,1,1,917
SMALL_BLOB,0.743,0,372.0,1.0,4.0,4,933
LIGHT_TRACK,1.035,0,518.0,4.333,1.538,6,949
SMALL_BLOB,0.831,0,416.0,3.0,2.667,4,956
STRAIGHT_TRACK,1.513,0,761.0,9.8,1.214,14,959
SMALL_BLOB,0.488,0,244.0,1,1,2,960
SMALL_BLOB,0.07,0,35.0,1,1,1,963
LIGHT_TRACK,0.957,0,479.0,4.5,1.667,6,966
LIGHT_TRACK,1.221,0,611.0,3.0,2.0,6,966
SMALL_BLOB,0.422,0,211.0,1,1,2,968
LIGHT_TRACK,1.197,0,599.0,6.0,1.5,9,969
LIGHT_TRACK,1.148,0,575.0,5.667,1.569,8,972
LIGHT_TRACK,2.196,1,1100.0,4.111,0.937,12,974
LIGHT_TRACK,1.422,0,712.0,6.5,1.538,8,979
SMALL_BLOB,0.768,0,384.0,1.0,3.0,3,988
LIGHT_TRACK,1.225,2,613.0,3.0,2.333,7,996
SMALL_BLOB,0.256,0,128.0,1,1,1,1013
SMALL_BLOB,0.316,0,158.0,1,1,2,1014
SMALL_BLOB,0.723,0,362.0,1.0,2.0,4,1016
