cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count
STRAIGHT_TRACK,3.133,0,1598.0,15.632,0.889,23
SMALL_BLOB,0.122,0,61.0,1,1,1
SMALL_BLOB,0.826,0,413.0,1,1,2
SMALL_BLOB,0.228,0,114.0,1,1,2
SMALL_BLOB,0.128,0,64.0,1,1,1
SMALL_BLOB,0.226,0,113.0,1,1,1
SMALL_BLOB,0.324,0,162.0,1,1,2
STRAIGHT_TRACK,1.685,0,848.0,12.333,1.351,15
SMALL_BLOB,0.004,0,2.0,1,1,1
LIGHT_TRACK,1.801,0,902.0,3.625,1.0,8
LIGHT_TRACK,1.327,0,665.0,7.0,1.607,9
SMALL_BLOB,0.402,0,201.0,1,1,2
LIGHT_TRACK,0.878,0,440.0,1,1,6
SMALL_BLOB,0.136,0,68.0,1,1,1
LIGHT_TRACK,0.806,0,403.0,2.0,2.5,5
SMALL_BLOB,0.675,0,338.0,4.0,2.0,4
LIGHT_TRACK,0.917,0,459.0,1,1,5
STRAIGHT_TRACK,1.463,0,735.0,9.0,1.264,14
HEAVY_BLOB,19.117,8,9563.0,1.0,1.444,13
LIGHT_TRACK,1.47,2,735.0,4.0,2.0,8
SMALL_BLOB,0.638,0,319.0,1.0,3.0,3
SMALL_BLOB,0.879,0,440.0,2.0,2.0,4
SMALL_BLOB,0.152,0,76.0,1,1,1
SMALL_BLOB,0.124,0,62.0,1,1,1
SMALL_BLOB,0.426,0,213.0,1,1,2
SMALL_BLOB,0.014,0,7.0,1,1,1
LIGHT_TRACK,0.977,0,489.0,5.0,2.4,6
STRAIGHT_TRACK,1.568,0,787.0,10.333,1.538,11
LIGHT_TRACK,0.84,0,420.0,4.0,2.5,5
SMALL_BLOB,0.302,0,151.0,1,1,2
SMALL_BLOB,0.744,0,372.0,1.0,3.0,3
LIGHT_TRACK,1.292,2,646.0,2.0,3.0,6
SMALL_BLOB,0.102,0,51.0,1,1,1
LIGHT_TRACK,0.938,0,469.0,4.0,2.5,5
SMALL_BLOB,0.646,0,323.0,1,1,2
LIGHT_TRACK,1.367,0,685.0,7.167,1.291,9
SMALL_BLOB,0.08,0,40.0,1,1,1
LIGHT_TRACK,1.104,0,553.0,6.5,1.731,9
LIGHT_TRACK,1.118,0,560.0,4.0,1.125,9
STRAIGHT_TRACK,1.497,0,752.0,14.0,1.857,13
SMALL_BLOB,0.188,0,94.0,1,1,2
STRAIGHT_TRACK,1.628,0,818.0,9.143,1.281,14
LIGHT_TRACK,3.32,2,1672.0,2.977,0.411,20
LIGHT_TRACK,1.574,0,789.0,6.0,1.343,10
SMALL_BLOB,0.448,0,224.0,2.0,2.0,4
LIGHT_TRACK,1.026,0,513.0,2.0,2.5,5
SMALL_BLOB,0.168,0,84.0,1,1,1
SMALL_BLOB,0.426,0,213.0,1.0,4.0,4
SMALL_BLOB,0.19,0,95.0,1,1,1
LIGHT_TRACK,1.647,2,824.0,3.0,2.333,7
SMALL_BLOB,0.112,0,56.0,1,1,1
SMALL_BLOB,0.128,0,64.0,1,1,1
SMALL_BLOB,0.476,0,238.0,1,1,2
SMALL_BLOB,0.202,0,101.0,1,1,2
LIGHT_TRACK,1.174,0,588.0,5.666,1.279,9
LIGHT_TRACK,1.446,1,723.0,1.5,2.0,6
SMALL_BLOB,0.09,0,45.0,1,1,1
LIGHT_TRACK,2.233,0,1119.0,7.5,1.667,10
SMALL_BLOB,0.098,0,49.0,1,1,1
LIGHT_TRACK,2.353,2,1179.0,2.417,0.611,17
STRAIGHT_TRACK,2.492,0,1270.0,14.55,0.862,23
SMALL_BLOB,0.46,0,230.0,1,1,2
LIGHT_TRACK,1.955,1,986.0,9.462,0.946,17
LIGHT_TRACK,0.955,0,478.0,6.0,1.685,7
SMALL_BLOB,0.198,0,99.0,1,1,1
SMALL_BLOB,0.674,0,337.0,1,1,3
LIGHT_TRACK,2.135,4,1068.0,1.333,1.083,13
STRAIGHT_TRACK,1.481,0,743.0,9.0,1.528,11
SMALL_BLOB,0.006,0,3.0,1,1,1
LIGHT_TRACK,2.062,2,1031.0,1.5,1.5,9
SMALL_BLOB,0.204,0,102.0,1,1,1
SMALL_BLOB,0.126,0,63.0,1,1,1
LIGHT_TRACK,1.314,0,657.0,2.0,2.5,5
LIGHT_TRACK,1.512,0,759.0,7.727,1.182,13
LIGHT_TRACK,1.405,2,704.0,4.6,1.243,11
LIGHT_TRACK,2.496,2,1261.0,10.5,0.961,19
LIGHT_TRACK,2.18,0,1093.0,4.333,0.909,11
STRAIGHT_TRACK,2.297,0,1156.0,9.4,1.157,16
STRAIGHT_TRACK,1.378,0,690.0,9.0,1.778,8
LIGHT_TRACK,0.656,0,328.0,3.0,2.0,6
SMALL_BLOB,0.094,0,47.0,1,1,1
SMALL_BLOB,0.28,0,140.0,1,1,2
SMALL_BLOB,0.856,0,428.0,1.0,3.0,3
SMALL_BLOB,0.448,0,224.0,1,1,2
SMALL_BLOB,0.338,0,169.0,1,1,2
SMALL_BLOB,0.038,0,19.0,1,1,1
SMALL_BLOB,0.394,0,197.0,1,1,2
SMALL_BLOB,0.088,0,44.0,1,1,1
SMALL_BLOB,0.124,0,62.0,1,1,1
LIGHT_TRACK,1.072,0,537.0,6.0,1.667,8
HEAVY_TRACK,2.614,5,1309.0,2.9,0.821,14
SMALL_BLOB,0.534,0,267.0,1,1,2
